"","age","ihd_mortality","non_ihd_mortality","sex"
"128",127,0.80692,0.19256,"male"
"129",128,0.8362,0.16355,"male"
"130",129,0.86331,0.13658,"male"
"131",130,0.88798,0.11198,"male"
"132",131,0.91,0.08998,"male"
"133",132,0.92926,0.07074,"male"
"134",133,0.94572,0.05428,"male"
"135",134,0.95944,0.04056,"male"
"136",135,0.97056,0.02944,"male"
"137",136,0.97931,0.02069,"male"
"138",137,0.98596,0.01404,"male"
"139",138,0.99084,0.00916,"male"
"140",139,0.99427,0.00573,"male"
"141",0,2e-05,0.00377,"female"
"142",1,0,0.00014,"female"
"143",2,0,0.00014,"female"
"144",3,0,0.00015,"female"
"145",4,0,0.00015,"female"
"146",5,0,7e-05,"female"
"147",6,0,8e-05,"female"
"148",7,0,8e-05,"female"
"149",8,0,8e-05,"female"
"150",9,0,8e-05,"female"
"151",10,0,9e-05,"female"
"152",11,0,9e-05,"female"
"153",12,0,8e-05,"female"
"154",13,0,8e-05,"female"
"155",14,0,8e-05,"female"
"156",15,0,0.00015,"female"
"157",16,0,0.00015,"female"
"158",17,0,0.00015,"female"
"159",18,0,0.00015,"female"
"160",19,0,0.00014,"female"
"161",20,1e-05,0.00021,"female"
"162",21,0,2e-04,"female"
"163",22,0,2e-04,"female"
"164",23,0,2e-04,"female"
"165",24,0,2e-04,"female"
"166",25,1e-05,0.00026,"female"
"167",26,1e-05,0.00026,"female"
"168",27,1e-05,0.00026,"female"
"169",28,1e-05,0.00026,"female"
"170",29,1e-05,0.00026,"female"
"171",30,2e-05,0.00039,"female"
"172",31,2e-05,0.00039,"female"
"173",32,2e-05,0.00039,"female"
"174",33,2e-05,0.00038,"female"
"175",34,2e-05,4e-04,"female"
"176",35,5e-05,0.00061,"female"
"177",36,5e-05,0.00062,"female"
"178",37,5e-05,0.00061,"female"
"179",38,5e-05,6e-04,"female"
"180",39,5e-05,0.00058,"female"
"181",40,8e-05,0.00099,"female"
"182",41,8e-05,0.00095,"female"
"183",42,8e-05,0.00091,"female"
"184",43,8e-05,0.00093,"female"
"185",44,8e-05,0.00091,"female"
"186",45,0.00014,0.00149,"female"
"187",46,0.00013,0.00147,"female"
"188",47,0.00013,0.00146,"female"
"189",48,0.00013,0.00146,"female"
"190",49,0.00013,0.00147,"female"
"191",50,0.00023,0.00207,"female"
"192",51,0.00023,0.00212,"female"
"193",52,0.00024,0.00219,"female"
"194",53,0.00025,0.00228,"female"
"195",54,0.00025,0.00234,"female"
"196",55,0.00041,0.00332,"female"
"197",56,0.00043,0.00344,"female"
"198",57,0.00044,0.00357,"female"
"199",58,0.00046,0.00369,"female"
"200",59,0.00045,0.00366,"female"
"201",60,0.00074,0.00567,"female"
"202",61,0.00076,0.0058,"female"
"203",62,0.00075,0.00575,"female"
"204",63,0.00073,0.0056,"female"
"205",64,0.00072,0.00547,"female"
"206",65,0.00115,0.0072,"female"
"207",66,0.00107,0.00665,"female"
"208",67,0.00137,0.00857,"female"
"209",68,0.00141,0.00879,"female"
"210",69,0.00141,0.00882,"female"
"211",70,0.00218,0.01193,"female"
"212",71,0.00242,0.01324,"female"
"213",72,0.00267,0.0146,"female"
"214",73,0.00257,0.01406,"female"
"215",74,0.00258,0.01412,"female"
"216",75,0.00474,0.02073,"female"
"217",76,0.00497,0.02169,"female"
"218",77,0.00518,0.02263,"female"
"219",78,0.00542,0.0237,"female"
"220",79,0.0058,0.02534,"female"
"221",80,0.01035,0.03893,"female"
"222",81,0.01058,0.0398,"female"
"223",82,0.01101,0.04138,"female"
"224",83,0.01168,0.04392,"female"
"225",84,0.01287,0.04837,"female"
"226",85,0.01854,0.06552,"female"
"227",86,0.02024,0.07151,"female"
"228",87,0.02214,0.07824,"female"
"229",88,0.02474,0.08742,"female"
"230",89,0.02787,0.09847,"female"
"231",90,0.03061,0.10745,"female"
"232",91,0.03362,0.11715,"female"
"233",92,0.03692,0.12762,"female"
"234",93,0.04054,0.13888,"female"
"235",94,0.0445,0.15099,"female"
"236",95,0.04884,0.16396,"female"
"237",96,0.05359,0.17782,"female"
"238",97,0.05879,0.19259,"female"
"239",98,0.06447,0.20827,"female"
"240",99,0.07069,0.22485,"female"
"241",100,0.07748,0.24231,"female"
"242",101,0.08489,0.26062,"female"
"243",102,0.09297,0.2797,"female"
"244",103,0.10178,0.29947,"female"
"245",104,0.11137,0.31982,"female"
"246",105,0.1218,0.34059,"female"
"247",106,0.13313,0.36161,"female"
"248",107,0.14542,0.38265,"female"
"249",108,0.15875,0.40347,"female"
"250",109,0.17317,0.42376,"female"
"251",110,0.18874,0.4432,"female"
"252",111,0.20553,0.46142,"female"
"253",112,0.2236,0.47802,"female"
"254",113,0.24301,0.49261,"female"
"255",114,0.26379,0.50476,"female"
"256",115,0.28599,0.51406,"female"
"257",116,0.30965,0.52014,"female"
"258",117,0.33476,0.52265,"female"
"259",118,0.36133,0.52131,"female"
"260",119,0.38933,0.51594,"female"
"261",120,0.41872,0.50644,"female"
"262",121,0.44942,0.49284,"female"
"263",122,0.48131,0.47527,"female"
"264",123,0.51427,0.454,"female"
"265",124,0.54811,0.42942,"female"
"266",125,0.58261,0.40201,"female"
"267",126,0.61753,0.37234,"female"
"268",127,0.65258,0.34102,"female"
"269",128,0.68744,0.3087,"female"
"270",129,0.72175,0.27603,"female"
"271",130,0.75516,0.24363,"female"
"272",131,0.7873,0.21208,"female"
"273",132,0.8178,0.1819,"female"
"274",133,0.84633,0.15354,"female"
"275",134,0.87258,0.12737,"female"
"276",135,0.8963,0.10368,"female"
"277",136,0.91733,0.08266,"female"
"278",137,0.93557,0.06443,"female"
"279",138,0.95102,0.04898,"female"
"280",139,0.96378,0.03622,"female"
